N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
1;Oui;Peu informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Très négatif;"Divertissement/Célébrités;Journalisme/Actualités";Non;Fortement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;2;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;YouTube;8547-HRVN;15/04/2025 00:16:35;;15/04/2025 00:27:52;677,0429006;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
2;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Positif;Journalisme/Actualités;Non;Légèrement diminué;Toujours;Vérifier l’auteur et la crédibilité du média;Très fortement;1;4;3;4;Non, elle n'est pas réelle;Je ne sais pas;Oui;Non;Pas du tout prêt(e);26-40 ans;Femme;Bac +3 / Licence;LinkedIn;6EAA-F3YK;15/04/2025 00:38:53;;15/04/2025 00:45:06;372,9561246;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
3;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;3;1;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;Instagram;XF4U-CJJ8;15/04/2025 00:58:23;;15/04/2025 01:02:13;229,8922185;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
4;Oui;Bien informé(e);Oui;"TikTok;YouTube";Divertissement (humour, création artistique);Négatif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;YouTube;JMMB-5E2K;15/04/2025 01:13:24;;15/04/2025 01:21:19;474,3233261;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
5;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok;YouTube;Autres";Divertissement (humour, création artistique);Négatif;"Politique;Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;2;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;Instagram;BVF4-QSPX;15/04/2025 01:52:58;;15/04/2025 02:03:55;656,300064;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
6;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter";Divertissement (humour, création artistique);Négatif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Souvent;Vérifier l’auteur et la crédibilité du média;Beaucoup;1;3;3;4;Oui, elle est réelle;Les médias et journalistes;Oui;Oui;Très prêt(e);18-25 ans;Homme;Bac +5 et plus;X anciennement Twitter;VE6A-AM3U;15/04/2025 02:21:00;;15/04/2025 02:25:29;268,6976394;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
7;Oui;Moyennement informé(e);Oui;"Facebook;Instagram;TikTok;YouTube";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Jamais;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;2;2;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;ZK4U-UF3C;15/04/2025 02:30:25;;15/04/2025 02:37:13;408,16576829999997;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
8;Oui;Peu informé(e);Oui;"Facebook;X anciennement Twitter;Instagram";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;2;3;Oui, elle est réelle;Je ne sais pas;Sans opinion;Sans opinion;Pas du tout prêt(e);26-40 ans;Homme;Bac +5 et plus;Aucun;HT5N-2L2L;15/04/2025 04:03:20;;15/04/2025 04:11:59;519,3676752;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
9;Oui;Moyennement informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +5 et plus;Instagram;EGWE-EPC9;15/04/2025 06:46:02;;15/04/2025 06:50:33;271,2571318;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
10;Non;Pas du tout informé(e);Non;Autres;Autres;Négatif;"Politique;Divertissement/Célébrités";Non;Légèrement diminué;Parfois;Analyser les commentaires et réactions d’autres utilisateurs;Très fortement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Très prêt(e);26-40 ans;Femme;Bac +5 et plus;Aucun;RNGN-U4HE;15/04/2025 07:30:34;;15/04/2025 07:34:21;226,54153050000002;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
11;Oui;Très bien informé(e);Oui;"Instagram;TikTok";Arnaque ou fraude en ligne;Négatif;"Politique;Divertissement/Célébrités;Informations financières";Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;1;Non, elle n'est pas réelle;Je ne sais pas;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;TikTok;485Z-94YF;15/04/2025 08:45:05;;15/04/2025 08:53:13;487,9823714;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
12;Oui;Très bien informé(e);Oui;X anciennement Twitter;Désinformation (propagande, manipulation politique);Très négatif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Très fortement;1;3;3;3;Oui, elle est réelle;Les médias et journalistes;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +3 / Licence;X anciennement Twitter;X35B-DYWE;15/04/2025 09:13:40;;15/04/2025 09:18:47;307,3320022;EN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
13;Oui;Très bien informé(e);Oui;"Facebook;Instagram;TikTok";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement augmenté;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Beaucoup;1;2;1;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;Facebook;HBVQ-2AM5;15/04/2025 09:23:20;;15/04/2025 09:27:56;275,4946665;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
14;Oui;Moyennement informé(e);Oui;"X anciennement Twitter;TikTok";Divertissement (humour, création artistique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières";Cela dépend des sources;Resté stable;Rarement;Rechercher d’autres sources fiables;Moyennement;1;3;3;4;Oui, elle est réelle;Les médias et journalistes;Sans opinion;Sans opinion;Indifférent(e);18-25 ans;Femme;Bac +5 et plus;Instagram;S59J-X7WS;15/04/2025 09:40:14;;15/04/2025 09:42:32;138,4322015;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
15;Oui;Moyennement informé(e);Je ne suis pas sûr(e);Instagram;Arnaque ou fraude en ligne;Très négatif;"Politique;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +3 / Licence;Instagram;TY2Z-MYQC;15/04/2025 09:49:17;;15/04/2025 09:52:31;193,88769809999994;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
16;Oui;Bien informé(e);Oui;"X anciennement Twitter;YouTube";Arnaque ou fraude en ligne;Négatif;Informations financières;Cela dépend des sources;Légèrement diminué;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +3 / Licence;X anciennement Twitter;WZW9-Z24R;15/04/2025 10:37:36;;15/04/2025 10:46:01;505,467224;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
17;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;YouTube";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;2;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Sans opinion;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;Facebook;L9ZN-TNW6;15/04/2025 11:15:00;;15/04/2025 11:21:51;411,451547;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
18;Oui;Moyennement informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Très négatif;"Politique;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Fortement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;2;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +2;Instagram;9JSF-88EX;15/04/2025 11:14:25;;15/04/2025 11:25:15;650,7442811000001;FR;Terminé;;direct;Smartphone;
19;Oui;Moyennement informé(e);Oui;"Facebook;Instagram";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Bac +2;Instagram;NMRE-Z83T;15/04/2025 12:03:27;;15/04/2025 12:09:10;343,30118699999997;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
20;Oui;Moyennement informé(e);Oui;"Facebook;Instagram";Divertissement (humour, création artistique);Très négatif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Légèrement diminué;Souvent;Rechercher d’autres sources fiables;Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Pas du tout prêt(e);18-25 ans;Homme;Bac +5 et plus;Instagram;N25M-M74Y;15/04/2025 12:14:54;;15/04/2025 12:26:06;671,9092732;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
21;Oui;Moyennement informé(e);Oui;"X anciennement Twitter;Instagram";Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;1;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Sans opinion;Indifférent(e);26-40 ans;Homme;Bac +5 et plus;Instagram;KBAV-RA79;15/04/2025 13:24:17;;15/04/2025 13:28:25;248,7902604;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
22;Oui;Bien informé(e);Oui;Facebook;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Toujours;Vérifier l’auteur et la crédibilité du média;Très fortement;1;3;3;2;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Bac +2;Aucun;7UV6-NZHW;15/04/2025 13:38:40;;15/04/2025 13:43:37;296,97954180000005;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
23;Oui;Bien informé(e);Oui;YouTube;Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Non;Resté stable;Parfois;Rechercher d’autres sources fiables;Moyennement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Pas du tout prêt(e);41-60 ans;Homme;Bac +3 / Licence;YouTube;Z9W8-CBYF;15/04/2025 13:49:58;;15/04/2025 13:55:23;325,13753230000003;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
24;Oui;Peu informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok;YouTube";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Indifférent(e);18-25 ans;Homme;Bac +5 et plus;Instagram;G5LZ-64E9;15/04/2025 14:39:43;;15/04/2025 15:43:25;3821,8881061;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
25;Oui;Peu informé(e);Oui;Instagram;Divertissement (humour, création artistique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;4;3;1;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Pas du tout prêt(e);18-25 ans;Homme;Bac +5 et plus;Instagram;5N8L-ULW8;15/04/2025 15:42:59;;15/04/2025 15:46:00;181,4449637;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
26;Oui;Peu informé(e);Oui;Facebook;Désinformation (propagande, manipulation politique);Négatif;Politique;Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;4;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Homme;Bac +5 et plus;Facebook;3YBJ-CBKE;15/04/2025 16:58:37;;15/04/2025 17:04:47;370,5775377;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
27;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok";Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Fortement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Sans opinion;Pas du tout prêt(e);18-25 ans;Femme;Bac +2;X anciennement Twitter;SP7K-MU23;15/04/2025 18:53:30;;15/04/2025 19:01:18;467,67485609999994;FR;Terminé;;direct;Smartphone;
28;Oui;Peu informé(e);Je ne suis pas sûr(e);"Facebook;TikTok";Désinformation (propagande, manipulation politique);Négatif;Divertissement/Célébrités;Non;Fortement diminué;Toujours;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;2;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Sans opinion;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;Aucun;C9Z7-MK2F;15/04/2025 19:03:59;;15/04/2025 19:10:41;402,1419915;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
29;Oui;Bien informé(e);Oui;"Instagram;TikTok";Arnaque ou fraude en ligne;Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;2;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Sans opinion;Pas du tout prêt(e);18-25 ans;Femme;Lycée;Instagram;X8VW-5G66;15/04/2025 19:47:30;;15/04/2025 19:50:27;176,7543002;FR;Terminé;;direct;Smartphone;
30;Oui;Moyennement informé(e);Oui;Autres;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;2;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Lycée;Aucun;U286-BL6Y;15/04/2025 20:12:22;;15/04/2025 20:16:08;225,52683349999998;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
31;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter";Divertissement (humour, création artistique);Neutre;"Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Parfois;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Sans opinion;Indifférent(e);18-25 ans;Femme;Bac +3 / Licence;YouTube;6658-6DDN;15/04/2025 21:16:38;;15/04/2025 21:24:00;442,5222324;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
32;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok;YouTube";Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;TikTok;NUUW-LR92;15/04/2025 21:21:10;;15/04/2025 21:24:39;209,6256396;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
33;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter";Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;2;3;2;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;Instagram;9G5J-76EN;15/04/2025 21:30:15;;15/04/2025 21:42:37;742,3164596;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
34;Oui;Peu informé(e);Oui;TikTok;Autres;Négatif;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;1;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);18-25 ans;Autre / Préfère ne pas répondre;Bac +5 et plus;TikTok;TBEK-8KL2;15/04/2025 22:03:40;;15/04/2025 22:07:26;226,02939990000002;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
35;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Très négatif;Journalisme/Actualités;Cela dépend des sources;Fortement diminué;Parfois;Rechercher d’autres sources fiables;Moyennement;1;3;3;2;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Bac +5 et plus;Instagram;A5N8-LZ4T;15/04/2025 23:07:36;;15/04/2025 23:11:06;210,19798719999997;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
36;Non;Peu informé(e);Je ne suis pas sûr(e);"Instagram;YouTube";Arnaque ou fraude en ligne;Négatif;Journalisme/Actualités;Cela dépend des sources;Fortement diminué;Souvent;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;2;Non, elle n'est pas réelle;Les médias et journalistes;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +5 et plus;YouTube;K9B3-HCTR;16/04/2025 00:27:35;;16/04/2025 00:32:19;283,81999899999994;FR;Terminé;;direct;Smartphone;
37;Oui;Moyennement informé(e);Oui;TikTok;Arnaque ou fraude en ligne;Très négatif;Informations financières;Cela dépend des sources;Légèrement diminué;Rarement;Analyser les commentaires et réactions d’autres utilisateurs;Pas du tout;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;TikTok;LLNG-NN5A;16/04/2025 00:34:16;;16/04/2025 00:38:46;270,78928940000003;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
38;Oui;Peu informé(e);Je ne suis pas sûr(e);TikTok;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Non;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;3;3;2;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Sans opinion;Oui;Indifférent(e);26-40 ans;Homme;Bac +5 et plus;TikTok;4DZQ-2RFA;16/04/2025 01:01:51;;16/04/2025 01:05:21;210,70571629999998;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
39;Oui;Peu informé(e);Oui;"X anciennement Twitter;Instagram";Divertissement (humour, création artistique);Négatif;"Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;1;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Non;Indifférent(e);26-40 ans;Homme;Bac +5 et plus;Instagram;SSJ4-94VN;16/04/2025 06:02:25;;16/04/2025 06:08:36;371,1655633;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
40;Non;Peu informé(e);Oui;TikTok;Désinformation (propagande, manipulation politique);Négatif;Informations financières;Non;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +2;TikTok;2AZJ-R76X;16/04/2025 09:44:50;;16/04/2025 09:49:47;296,11128450000007;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
41;Oui;Moyennement informé(e);Oui;YouTube;Désinformation (propagande, manipulation politique);Très négatif;"Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;1;3;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Très prêt(e);26-40 ans;Femme;Bac +5 et plus;YouTube;PZBQ-YB3Y;16/04/2025 14:24:55;;16/04/2025 14:33:49;534,7353201;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
42;Oui;Bien informé(e);Oui;"Instagram;TikTok;YouTube";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;1;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;TikTok;WBES-EVSF;16/04/2025 15:04:55;;16/04/2025 15:10:34;338,9740596;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
43;Non;Moyennement informé(e);Oui;"Instagram;TikTok";Arnaque ou fraude en ligne;Négatif;"Politique;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +5 et plus;LinkedIn;GJCL-CHTF;16/04/2025 17:10:50;;16/04/2025 17:13:19;148,3623301;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
